wid,practice,presentation_times,primed_word,first_seen,first_word,second_word,choice,choice_rt,typing_rt,word,response,response_rt,response_type
w9c68907,False,"[516.8999999761581, 1743.8000000715256, 2094.399999976158]",rabbit,right,volcano,rabbit,right,4355.100000023842,5202.100000023842,volcano,bird,5959.399999976158,intrusion
w9c68907,False,"[761.8000000715256, 473.89999997615814, 1786.7999999523163, 1475.5, 1743.0, 581.2000000476837, 1647.0]",hay,right,hat,hay,right,8469.200000047684,9156.100000023842,hat,candle,10404.399999976158,intrusion
w9c68907,False,"[590.7000000476837, 1572.7000000476837, 3256.0]",bird,right,bird,heart,right,5419.400000095367,6011.100000023842,bird,bird,6705.600000023842,correct
w9c68907,False,"[591.7999999523163, 762.0, 2106.100000023842]",ear,right,ear,door,right,3459.899999976158,4328.0,ear,candle,5533.0,intrusion
w464acd4,True,"[960.7000000476837, 2185.0999999046326]",bed,left,bed,bone,left,3145.7999999523163,5616.700000047684,bed,bed,6159.299999952316,correct
w464acd4,False,"[1441.6999999284744, 2963.8000000715256, 719.0999999046326]",hat,left,dog,hat,right,5124.599999904633,5967.699999928474,hat,hat,6512.299999952316,correct
w464acd4,False,"[797.2999999523163, 1198.3000000715256]",drink,left,snake,drink,left,1995.6000000238419,2727.399999976158,snake,snake,3529.2000000476837,correct
w464acd4,False,"[715.9000000953674, 1281.5999999046326, 824.0]",lion,left,lion,bread,left,2821.5,3670.8000000715256,lion,lion,4417.100000023842,correct
w464acd4,False,"[861.8000000715256, 1092.6999999284744]",fence,left,cake,fence,left,1954.5,2537.5,cake,cake,3497.8000000715256,correct
w464acd4,False,"[651.6000000238419, 901.7000000476837]",horse,left,bag,horse,left,1553.3000000715256,2601.9000000953674,bag,bag,4016.5,correct
w464acd4,False,"[677.8999999761581, 1405.1999999284744]",volcano,left,nut,volcano,right,2083.0999999046326,2888.5999999046326,volcano,volcano ,4828.699999928474,correct
w464acd4,False,"[1085.5, 1389.5, 918.5]",ear,left,apple,ear,left,3393.5,3837.899999976158,apple,apple,4616.199999928474,correct
w464acd4,False,"[573.6999999284744, 1257.3000000715256]",rabbit,left,rabbit,computer,right,1831.0,3697.6999999284744,computer,computer,5384.399999976158,correct
w464acd4,False,"[828.8000000715256, 511.7999999523163, 792.7999999523163]",window,left,candle,window,left,2133.399999976158,2823.0,candle,candle,5281.300000071526,correct
w464acd4,False,"[646.6999999284744, 423.39999997615814, 746.8000000715256]",jeans,left,milk,jeans,left,1816.8999999761581,2951.7999999523163,milk,milk,4374.5,correct
w464acd4,False,"[712.1999999284744, 607.0, 413.0]",duck,left,hay,duck,left,1732.1999999284744,2520.899999976158,hay,hay,3056.899999976158,correct
w464acd4,False,"[918.2999999523163, 635.1000000238419, 1590.2999999523163]",bird,left,bird,lawn,left,3143.6999999284744,5137.0,bird,bird,10808.5,correct
w464acd4,False,"[895.6000000238419, 1506]",sand,left,sand,cat,right,2401.600000023842,2802.3000000715256,cat,cat,3359.0,correct
w464acd4,False,"[765.3999999761581, 960.2999999523163, 941.1000000238419, 1193.6000000238419]",egg,left,bear,egg,left,3860.399999976158,5921.5,bear,apple,6668.099999904633,intrusion
w464acd4,False,"[846.0, 1105.8000000715256]",door,left,door,flower,right,1951.8000000715256,2886.0,flower,flower,3639.3000000715256,correct
w464acd4,False,"[1619.6000000238419, 489.89999997615814, 207.39999997615814]",toilet,left,potato,toilet,left,2316.899999976158,3299.100000023842,potato,potato,8397.899999976158,correct
w464acd4,False,"[750.0, 340.7000000476837, 700.1999999284744]",truck,left,truck,pig,left,1790.8999999761581,3259.600000023842,truck,truck,5110.0,correct
w464acd4,False,"[675.3000000715256, 1260.6999999284744]",heart,left,puzzle,heart,right,1936.0,2582.100000023842,heart,heart,3409.4000000953674,correct
w464acd4,False,"[798.2999999523163, 1848.6000000238419]",eye,left,bee,eye,right,2646.899999976158,3502.899999976158,eye,eye,4026.1999999284744,correct
wa68f594,True,"[1232.0, 3188.899999976158]",eye,left,eye,window,right,4420.899999976158,5165.399999976158,window,window,6428.0,correct
wa68f594,False,[4183.700000047684],fence,left,milk,fence,left,4183.700000047684,6213.799999952316,milk,milk,7381.799999952316,correct
wa68f594,False,"[1195.4000000953674, 777.0999999046326, 2130.8000000715256]",heart,left,heart,lawn,left,4103.300000071526,4619.900000095367,heart,heart,6580.100000023842,correct
wa68f594,False,"[1083.8999999761581, 2884.3000000715256]",flower,left,flower,ear,right,3968.2000000476837,4884.399999976158,ear,ear,5614.799999952316,correct
wa68f594,False,"[512.6000000238419, 597.2999999523163, 3302.100000023842]",hay,left,hat,hay,left,4412.0,5203.300000071526,hat,hat,5773.600000023842,correct
wa68f594,False,"[967.0, 1151.2999999523163, 1396.9000000953674]",lion,left,lion,snake,left,3515.2000000476837,4275.700000047684,lion,lion,5384.5,correct
wa68f594,False,[3497.7999999523163],candle,right,nut,candle,left,3497.7999999523163,6062.399999976158,candle,lion,10122.299999952316,intrusion
wa68f594,False,"[625.5, 676.2999999523163, 1389.1000000238419]",horse,left,horse,pig,left,2690.899999976158,3443.2999999523163,horse,horse,4585.600000023842,correct
wa68f594,False,[4713.200000047684],potato,right,potato,jeans,right,4713.200000047684,5509.200000047684,potato,potato,6738.400000095367,correct
wa68f594,False,"[1045.7000000476837, 1009.3999999761581, 2486.7999999523163]",puzzle,left,puzzle,bed,left,4541.899999976158,5281.5,puzzle,puzzle,8187.799999952316,correct
wa68f594,False,"[1153.6999999284744, 2047.3000000715256]",egg,left,rabbit,egg,right,3201.0,3581.399999976158,egg,egg,5426.600000023842,correct
wa68f594,False,[2128.2000000476837],bone,left,bone,drink,left,2128.2000000476837,2965.9000000953674,bone,bone,5040.200000047684,correct
wa68f594,False,"[661.2000000476837, 1520.7999999523163]",truck,left,bird,truck,right,2182.0,2996.3000000715256,truck,truck,4104.100000023842,correct
wa68f594,False,"[666.2000000476837, 499.0, 1184.0999999046326]",cat,left,cat,bear,left,2349.2999999523163,2823.399999976158,cat,cat,4274.600000023842,correct
wa68f594,False,[1700.6999999284744],apple,left,apple,bag,left,1700.6999999284744,2113.1999999284744,apple,apple,3593.600000023842,correct
wa68f594,False,"[847.3999999761581, 466.60000002384186, 1023.6000000238419, 957.6999999284744]",dog,left,dog,duck,right,3295.2999999523163,4653.5,duck,duck,5775.899999976158,correct
wa68f594,False,[1917.1000000238419],bee,left,bread,bee,left,1917.1000000238419,3612.5,bread,bread,4543.700000047684,correct
