wid,word,image,practice,block,response_type,typing_rt,response,type_time,rt
wae5ba04,milk,../static/stimuli/images/greenhouse/sun_bhxqibazllyrcpje.jpg,False,2,intrusion,3029.600000023842,sun,536.0,3565.600000023842
wae5ba04,drink,../static/stimuli/images/computerroom/sun_aknbqkyjmltzjpuf.jpg,False,2,other,1613.7000000476837,person,936.0999999046326,2549.7999999523163
wae5ba04,bed,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,2,intrusion,3294.2999999523163,stone,2895.600000023842,6189.899999976158
wae5ba04,fence,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,False,2,intrusion,1902.3999999761581,house,1440.2000000476837,3342.600000023842
wae5ba04,truck,../static/stimuli/images/street/sun_amwdevcpkorkaqcv.jpg,False,2,timeout,,,,
wae5ba04,heart,../static/stimuli/images/house/sun_awvfftwqwfbjqmmu.jpg,False,2,intrusion,2975.0,frog,935.7999999523163,3910.7999999523163
wae5ba04,snake,../static/stimuli/images/warehouse/sun_aivgpdzlwqiklrwe.jpg,False,2,intrusion,4469.899999976158,hat,616.0,5085.899999976158
wae5ba04,rabbit,../static/stimuli/images/roof/sun_ajxjjpvulhilcwcy.jpg,False,2,intrusion,5750.300000071526,sun,2744.1999999284744,8494.5
wae5ba04,bird,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,2,other,2911.0,water,599.9000000953674,3510.9000000953674
w9e4dd03,window,../static/stimuli/images/theater/sun_awkfdodvwaaleezx.jpg,False,2,intrusion,3725.1999999284744,cat,814.1000000238419,4539.299999952316
w9e4dd03,lion,../static/stimuli/images/greenhouse/sun_bhxqibazllyrcpje.jpg,False,2,correct,1023.1000000238419,lion,1126.6999999284744,2149.7999999523163
w9e4dd03,bread,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,2,correct,5007.0,bread,1102.6000000238419,6109.600000023842
w9e4dd03,truck,../static/stimuli/images/downtown/sun_axbzajoxhnjergfp.jpg,False,2,intrusion,5303.800000071526,dog,670.0,5973.800000071526
