word,pRecall,Size,Animacy,nLet,nSyl,WFlog,CDlog,Prevalence,ONsize,AoA,Concreteness,NoF,BOI,Arousal,Valence,Dominance,Graspability,Pantomime,Action,Danger,Usefulness
ARTERY,0.74137931,0.852713178,0.397350993,6,3,2.434568904,2.260071388,1.656001481,0,13.06,4.48,8,3.583333333,5.61,4.82,4.78,NaN,NaN,NaN,NaN,NaN
ARTICLE,0.685185185,0.879746835,0.014184397,7,3,2.999565488,2.743509765,2.432379059,0,8.61,4.33,NaN,3.24,4.81,5.4,5.68,NaN,NaN,NaN,NaN,NaN
ARTIST,0.829787234,0.065868263,0.95049505,6,2,3.164650216,2.889861721,2.437378405,0,6.78,4.24,12,4.782608696,4.91,6.53,6.95,NaN,NaN,NaN,NaN,NaN
ASH,0.653333333,0.954022989,0.050724638,3,1,2.672097858,2.158362492,2.310702102,4,6.6267,4.96,12,4.333333333,4.77,3.93,NaN,NaN,NaN,NaN,NaN,NaN
ASHTRAY,0.676470588,0.937007874,0.009708738,7,2,2.222716471,2.071882007,2.3414441,0,5.95,4.97,8,5.44,5.23,3.08,5.56,NaN,NaN,NaN,NaN,NaN
ASIA,0.71875,0.017241379,0.15,4,2,2.432969291,2.267171728,NaN,2,NaN,NaN,19,NaN,5.44,5.96,NaN,NaN,NaN,NaN,NaN,NaN
ASPIRIN,0.6875,0.926829268,0,7,2,2.597695186,2.46834733,2.054529893,0,7.95,4.76,10,NaN,4.77,5.5,5.12,NaN,NaN,NaN,NaN,NaN
ASSISTANT,0.74,0.060773481,0.964143426,9,3,3.215901813,2.990338855,2.331901333,0,8.61,4.07,11,NaN,4.88,5.56,6.37,NaN,NaN,NaN,NaN,NaN
ASSOCIATE,0.74137931,0.062801932,0.918604651,9,4,2.661812686,2.575187845,2.431458573,0,10.83,3.41,24,NaN,4.79,5.26,4.88,NaN,NaN,NaN,NaN,NaN
ASTEROID,0.75,0.066666667,0.043478261,8,3,1.939519253,1.643452676,2.344320471,0,8.6,4.86,13,2.083333333,6.51,4.89,3.68,NaN,NaN,NaN,NaN,NaN
ASTRONAUT,0.830769231,0.0625,0.951456311,9,3,2.307496038,2,2.217452599,0,6.28,4.75,11,4.357142857,5.96,6.58,5.32,NaN,NaN,NaN,NaN,NaN
ATHLETE,0.753623188,0.087628866,0.927350427,7,2,2.372912003,2.278753601,2.151603815,0,7.11,4.3,18,4.916666667,5.89,6.06,5.96,NaN,NaN,NaN,NaN,NaN
ATLAS,0.574074074,0.321167883,0.051724138,5,2,1.72427587,1.556302501,2.575829304,1,7.9,4.79,10,5.166666667,4.82,5.89,5.7,NaN,NaN,NaN,NaN,NaN
ATMOSPHERE,0.698412698,0.095238095,0.111111111,10,3,2.693726949,2.559906625,2.436521977,0,9.79,3.04,NaN,NaN,4.4,5.97,4.86,NaN,NaN,NaN,NaN,NaN
ATOM,0.679245283,0.96875,0.173611111,4,2,2.149219113,1.968482949,2.222796752,1,9.68,3.34,12,2.608695652,5.22,5.59,5.39,NaN,NaN,NaN,NaN,NaN
ATTIC,0.757142857,0.099415205,0.063291139,5,2,2.603144373,2.376576957,1.94207799,1,5.15,4.53,21,4.125,4.77,5.05,5.36,NaN,NaN,NaN,NaN,NaN
ATTIRE,0.783505155,0.334862385,0.064356436,6,3,1.886490725,1.799340549,2.436234111,0,11.22,4.47,6,5.086956522,4.75,5.57,5.78,NaN,NaN,NaN,NaN,NaN
ATTORNEY,0.779661017,0.073446328,0.927184466,8,3,3.314077992,2.968949681,2.079443545,0,10.95,4.52,12,4.72,6.24,4.22,5.53,NaN,NaN,NaN,NaN,NaN
AUDIENCE,0.729166667,0.067357513,0.849765258,8,3,3.112269768,2.880241776,2.433287722,0,7,4.29,NaN,3.818181818,5.78,5.53,5.14,NaN,NaN,NaN,NaN,NaN
AUNT,0.647058824,0.054545455,0.916666667,4,1,3.44963265,2.980003372,2.431149076,5,3.8,4.17,3,5.041666667,4.35,6.39,4.28,NaN,NaN,NaN,NaN,NaN
AUTHOR,0.694915254,0.091324201,0.931558935,6,2,2.608526034,2.401400541,2.428623793,0,7.1,4.26,8,4.4,4.51,5.98,6.38,NaN,NaN,NaN,NaN,NaN
AUTOMOBILE,0.717557252,0.061946903,0.097297297,10,4,2.465382851,2.28780173,2.159809737,0,7.11,4.96,NaN,5.64,5.67,5.9,6,NaN,NaN,NaN,NaN,NaN
AWARD,0.618181818,0.787037037,0.038834951,5,2,2.818225894,2.582063363,2.231748664,2,7.5,4.14,24,4.217391304,6.1,6.92,6.9,NaN,NaN,NaN,NaN,NaN
BABY,0.75,0.526627219,0.915,4,2,4.41462243,3.706632451,2.254310981,3,3.84,5,19,6.285714286,4.84,6.69,4.94,4.75862069,5.9375,4.178571429,1.689655172,3.771428571
BACK,0.605263158,0.336448598,0.147727273,4,1,5.01058826,3.917715517,2.575829304,18,5.3052,4.33,12,3.916666667,4.77,4.96,5.22,NaN,NaN,NaN,NaN,NaN
BACKBONE,0.547619048,0.341772152,0.186666667,8,2,1.929418926,1.897627091,2.575829304,0,6.95,4.19,14,4.64,5.13,5.47,6.4,NaN,NaN,NaN,NaN,NaN
BACON,0.72972973,0.902173913,0.063291139,5,2,2.782472624,2.602059991,2.330993649,2,5,4.9,10,5.916666667,5.67,6.77,6.11,NaN,NaN,NaN,NaN,NaN
BADGE,0.661016949,0.893617021,0.013986014,5,1,2.891537458,2.666517981,2.414135517,3,6.11,4.93,14,5.72,5.53,5.16,5.75,NaN,NaN,NaN,NaN,NaN
BAG,0.605633803,0.847133758,0.041958042,3,1,3.680969718,3.399500661,2.254310981,24,4.28,4.9,17,6.038461538,4.47,5.39,5.62,NaN,NaN,NaN,NaN,NaN
BAIT,0.575,0.948598131,0.401486989,4,1,2.696356389,2.59439255,2.308532649,8,7.11,4.45,8,4.375,5.34,4.46,5.95,NaN,NaN,NaN,NaN,NaN
BAKER,0.674157303,0.118959108,0.921965318,5,2,2.844477176,2.423245874,2.237251259,12,6.0405,4.71,14,NaN,4.11,6.25,NaN,NaN,NaN,NaN,NaN,NaN
BALCONY,0.674418605,0.076923077,0.033557047,7,3,2.572871602,2.428134794,2.428944333,0,8.1,4.68,18,4.739130435,4.37,6.1,5.09,3.310344828,3.625,2.5,2.689655172,3.2
BALL,0.552631579,0.863309353,0.027972028,4,1,3.728678367,3.316180099,2.138206341,20,2.9,5,17,6.608695652,5.02,5.86,5.47,NaN,NaN,NaN,NaN,NaN
BALLERINA,0.838709677,0.095238095,0.958333333,9,4,2.075546961,1.838849091,2.119034029,0,5.26,4.61,NaN,4.695652174,4.82,6.35,5.59,NaN,NaN,NaN,NaN,NaN
BALLOON,0.596774194,0.666666667,0.038461538,7,2,2.646403726,2.418301291,2.443347351,1,4.37,4.92,21,5.523809524,4.28,6.43,5.45,5.965517241,5.862068966,2.878787879,1.53125,2.8
BALLOT,0.6,0.863636364,0.047169811,6,2,1.84509804,1.568201724,1.909839776,1,8.83,4.73,7,4.434782609,5.22,5.21,5.45,NaN,NaN,NaN,NaN,NaN
BANANA,0.796116505,0.939759036,0.489795918,6,3,2.738780558,2.5132176,2.326347874,1,3.78,5,13,6.107142857,4.45,6.68,6.05,NaN,NaN,NaN,NaN,NaN
BAND,0.649484536,0.132743363,0.330434783,4,1,3.435366507,3.050379756,2.575829304,17,6.16,4.68,14,4.384615385,5.52,6.2,5.56,NaN,NaN,NaN,NaN,NaN
BANDAGE,0.75,0.892307692,0.084745763,7,2,2.167317335,2.100370545,2.259598934,1,5.94,4.85,NaN,6.304347826,5.47,4.25,4.4,6.586206897,5.344827586,2.333333333,1.84375,3.866666667
BANDANNA,0.681318681,0.944206009,0.02,8,3,1.342422681,1.113943352,1.054618149,0,8.59,5,18,NaN,4.5,5.26,5.42,NaN,NaN,NaN,NaN,NaN
BANDIT,0.764705882,0.086956522,0.897849462,6,2,2.283301229,1.982271233,2.575829304,1,8.15,4.36,NaN,3.782608696,6.81,3.14,4.77,NaN,NaN,NaN,NaN,NaN
