wid,duration,presentation,n_pres,pretest_accuracy_first,pretest_accuracy_second,response_type,choose_first,trial_id
w1e27c75,768.0999999940395,1,2,1,1,correct,FALSE,34
w1e27c75,1312.6000000238419,2,2,1,1,correct,FALSE,34
w1e27c75,1313,1,1,1,1,correct,TRUE,35
w1e27c75,1385.6000000238419,1,1,1,1,correct,TRUE,36
w1e27c75,1507.4000000059605,1,1,1,1,correct,TRUE,37
w1e27c75,987.7000000178814,1,1,1,1,correct,TRUE,38
w8b27b76,892.5999999940395,1,2,1,1,timeout,NA,39
w8b27b76,8903.5,2,2,1,1,timeout,NA,39
w8b27b76,1235.9000000059605,1,4,1,0.5,other,FALSE,40
w8b27b76,818.8999999761581,2,4,1,0.5,other,FALSE,40
w8b27b76,677.8000000119209,3,4,1,0.5,other,FALSE,40
w8b27b76,1113.300000011921,4,4,1,0.5,other,FALSE,40
w8b27b76,759,1,2,1,1,correct,FALSE,41
w8b27b76,3011.9000000059605,2,2,1,1,correct,FALSE,41
w8b27b76,673.2000000178814,1,6,0,0,intrusion,FALSE,42
w8b27b76,832.5999999940395,2,6,0,0,intrusion,FALSE,42
w8b27b76,1208.5,3,6,0,0,intrusion,FALSE,42
w8b27b76,1006.6999999880791,4,6,0,0,intrusion,FALSE,42
w8b27b76,593.7000000178814,5,6,0,0,intrusion,FALSE,42
w8b27b76,1058.0999999940395,6,6,0,0,intrusion,FALSE,42
w8b27b76,621.5999999940395,1,3,0.5,0,intrusion,TRUE,43
w8b27b76,754.3000000119209,2,3,0.5,0,intrusion,TRUE,43
w8b27b76,2253.899999976158,3,3,0.5,0,intrusion,TRUE,43
w8b27b76,657.5999999940395,1,3,1,0.5,correct,TRUE,44
w8b27b76,713.1999999880791,2,3,1,0.5,correct,TRUE,44
w8b27b76,2170.800000011921,3,3,1,0.5,correct,TRUE,44
w8b27b76,492.90000000596046,1,2,0,1,correct,FALSE,45
w8b27b76,1666.699999988079,2,2,0,1,correct,FALSE,45
w8b27b76,453.09999999403954,1,2,0,1,correct,FALSE,46
w8b27b76,1403.2000000178814,2,2,0,1,correct,FALSE,46
w8b27b76,577.6999999880791,1,2,1,1,correct,FALSE,47
w8b27b76,1352.300000011921,2,2,1,1,correct,FALSE,47
w8b27b76,484.09999999403954,1,3,1,0,correct,TRUE,48
w8b27b76,593.2999999821186,2,3,1,0,correct,TRUE,48
w8b27b76,573.8000000119209,3,3,1,0,correct,TRUE,48
w8b27b76,528,1,2,0,1,correct,FALSE,49
w8b27b76,1766.199999988079,2,2,0,1,correct,FALSE,49
w8b27b76,534.8000000119209,1,2,0.5,1,correct,FALSE,50
w8b27b76,1675.8999999761581,2,2,0.5,1,correct,FALSE,50
w8b27b76,457.80000001192093,1,2,0,0,other,FALSE,51
w8b27b76,1661.699999988079,2,2,0,0,other,FALSE,51
w8b27b76,481.59999999403954,1,3,1,1,correct,TRUE,52
w8b27b76,429.7000000178814,2,3,1,1,correct,TRUE,52
w8b27b76,538.7999999821186,3,3,1,1,correct,TRUE,52
w8b27b76,508,1,2,0.5,1,correct,FALSE,53
w8b27b76,1362.4000000059605,2,2,0.5,1,correct,FALSE,53
w8b27b76,449.90000000596046,1,2,0,1,correct,FALSE,54
w8b27b76,1262.2999999821186,2,2,0,1,correct,FALSE,54
w8b27b76,413.09999999403954,1,3,0,0,intrusion,TRUE,55
w8b27b76,743.3000000119209,2,3,0,0,intrusion,TRUE,55
w8b27b76,1788.0999999940395,3,3,0,0,intrusion,TRUE,55
w8b27b76,522.4000000059605,1,2,0,1,correct,FALSE,56
w8b27b76,2799.699999988079,2,2,0,1,correct,FALSE,56
w8b27b76,393.7999999821186,1,2,1,1,correct,FALSE,57
w8b27b76,1257.0999999940395,2,2,1,1,correct,FALSE,57
wbc79f63,718.2999999988824,1,2,0,1,correct,FALSE,58
wbc79f63,4311.700000001118,2,2,0,1,correct,FALSE,58
wbc79f63,3100.5999999996275,1,1,1,1,correct,TRUE,59
wbc79f63,1119,1,2,0,1,correct,FALSE,60
wbc79f63,1922.7000000011176,2,2,0,1,correct,FALSE,60
wbc79f63,1226.7999999988824,1,3,1,0,correct,TRUE,61
wbc79f63,906.5,2,3,1,0,correct,TRUE,61
wbc79f63,1786.800000000745,3,3,1,0,correct,TRUE,61
wbc79f63,778.6000000014901,1,2,0,0,other,FALSE,62
wbc79f63,5639.89999999851,2,2,0,0,other,FALSE,62
wbc79f63,692.5999999996275,1,2,0,1,correct,FALSE,63
wbc79f63,2124.5,2,2,0,1,correct,FALSE,63
wbc79f63,847.6999999992549,1,2,0,1,correct,FALSE,64
wbc79f63,1699,2,2,0,1,correct,FALSE,64
wbc79f63,708.9000000003725,1,2,0,1,correct,FALSE,65
wbc79f63,1706,2,2,0,1,correct,FALSE,65
wbc79f63,1951.2000000011176,1,1,1,1,correct,TRUE,66
wbc79f63,1866.800000000745,1,1,1,1,correct,TRUE,67
wbc79f63,781.5,1,2,0,1,correct,FALSE,68
wbc79f63,1929.5999999996275,2,2,0,1,correct,FALSE,68
wbc79f63,856,1,2,0,0,other,FALSE,69
wbc79f63,2365.2999999988824,2,2,0,0,other,FALSE,69
wbc79f63,1815.199999999255,1,1,1,0,correct,TRUE,70
wbc79f63,802.5999999996275,1,3,0,1,intrusion,TRUE,71
wbc79f63,3445.10000000149,2,3,0,1,intrusion,TRUE,71
wbc79f63,2762.2999999988824,3,3,0,1,intrusion,TRUE,71
wbc79f63,1025.0999999996275,1,2,0,0,other,FALSE,72
wbc79f63,2622.5999999996275,2,2,0,0,other,FALSE,72
