wid,block,word,response_type,rt
w8f13728,1,pig,intrusion,4807.299999952316
w8f13728,1,cat,timeout,NA
w8f13728,1,ear,intrusion,11696.400000095367
w8f13728,1,drink,correct,5205.099999904633
w8f13728,1,bone,correct,3026
w8f13728,1,volcano,correct,2163.4000000953674
w8f13728,1,cake,correct,5549.900000095367
w8f13728,1,lion,correct,12581.200000047684
w8f13728,1,rabbit,correct,5798.200000047684
w8f13728,1,hat,correct,4443
w8f13728,1,dog,correct,4224.799999952316
w8f13728,1,apple,correct,3226.4000000953674
w8f13728,1,flower,correct,6949.099999904633
w8f13728,1,bed,correct,5318.800000190735
w8f13728,1,potato,correct,2667.7999999523163
w8f13728,1,truck,correct,3025.5
w8f13728,1,bee,correct,9182.5
w8f13728,1,candle,correct,5040.400000095367
w8f13728,1,snake,correct,4967.899999856949
w8f13728,1,bear,empty,11256.800000190735
w8f13728,1,toilet,correct,7626.700000047684
w8f13728,1,volcano,correct,1803.5
w8f13728,1,bread,correct,3700.2000000476837
w8f13728,1,fence,correct,1961
w8f13728,1,drink,correct,1995.2000000476837
w8f13728,1,hay,correct,1680.1999998092651
w8f13728,1,eye,correct,3867.600000143051
w8f13728,1,computer,empty,10468.300000190735
w8f13728,1,bone,correct,1125.5
w8f13728,1,cat,correct,5523.600000143051
w8f13728,1,sand,correct,5466.400000095367
w8f13728,1,duck,correct,6849.299999952316
w8f13728,1,dog,correct,3207.7000000476837
w8f13728,1,hat,correct,4864.100000143051
w8f13728,1,rabbit,correct,3593.4000000953674
w8f13728,1,nut,correct,8070.900000095367
w8f13728,1,apple,correct,1930.3000001907349
w8f13728,1,cake,correct,2264.5
w8f13728,1,lion,correct,5001.700000047684
w8f13728,1,snake,correct,1886.5
w8f13728,1,bed,correct,3117.2999999523163
w8f13728,1,pig,intrusion,6864.599999904633
w8f13728,1,horse,correct,5941.399999856949
w8f13728,1,lawn,empty,10095.5
w8f13728,1,flower,correct,6041.800000190735
w8f13728,1,egg,correct,5195.5
w8f13728,1,ear,empty,7638.299999952316
w8f13728,1,potato,correct,2049.5999999046326
w8f13728,1,window,other,3716.2000000476837
w8f13728,1,bee,correct,2387.5999999046326
w8f13728,1,bag,correct,4528.200000047684
w8f13728,1,bird,correct,3119.0999999046326
w8f13728,1,candle,correct,1837.5999999046326
w8f13728,1,heart,correct,6205.5
w8f13728,1,puzzle,empty,9542.200000047684
w8f13728,1,truck,correct,3750.699999809265
wb05f474,1,cat,intrusion,4308.39999961853
wb05f474,1,dog,correct,5521.900000572205
wb05f474,1,flower,timeout,NA
wb05f474,1,computer,intrusion,11102.5
wb05f474,1,pig,correct,3930.5
wb05f474,1,lawn,correct,10345.60000038147
wb05f474,1,apple,correct,4964.10000038147
wb05f474,1,toilet,intrusion,3443.4000005722046
wb05f474,1,heart,intrusion,5014
wb05f474,1,snake,timeout,NA
wb05f474,1,potato,correct,5824.39999961853
wb05f474,1,bone,intrusion,8715.199999809265
wb05f474,1,puzzle,correct,10532.60000038147
wb05f474,1,duck,intrusion,11111.800000190735
wb05f474,1,truck,correct,13524.10000038147
wb05f474,1,hay,other,7144.300000190735
wb05f474,1,sand,correct,9023.5
wb05f474,1,volcano,intrusion,10943.800000190735
wb05f474,1,jeans,correct,5134.39999961853
wb05f474,1,ear,intrusion,6730.300000190735
wb05f474,1,nut,intrusion,2382.5
wb05f474,1,lion,correct,6170.900000572205
wb05f474,1,egg,intrusion,4078.5
wb05f474,1,candle,correct,5287.89999961853
wb05f474,1,bird,timeout,NA
wb05f474,1,eye,correct,8495.800000190735
wb05f474,1,cake,correct,4638.60000038147
wb05f474,1,drink,timeout,NA
wb05f474,1,bed,correct,2326
wb05f474,1,door,intrusion,12377.800000190735
wb05f474,1,bee,correct,11295.39999961853
wb05f474,1,horse,intrusion,9983
wb05f474,1,milk,timeout,11582.39999961853
wb05f474,1,bear,intrusion,7809.60000038147
wb05f474,1,window,correct,7886.800000190735
wb05f474,1,hat,intrusion,11539.599999427795
wb05f474,1,fence,correct,9595.29999923706
wb05f474,1,apple,correct,8672.400000572205
wb05f474,1,hat,timeout,NA
wb05f474,1,eye,correct,2983.5
wb05f474,1,truck,correct,1798.2000007629395
wb05f474,1,fence,correct,8686.199999809265
wb05f474,1,snake,timeout,NA
wb05f474,1,puzzle,timeout,NA
wb05f474,1,dog,correct,3962.5
wb05f474,1,toilet,intrusion,8148.39999961853
wb05f474,1,pig,correct,3617.3999996185303
wb05f474,1,sand,intrusion,12113.800000190735
