wid,word,image,practice,block,typing_rt,response_type,response,type_time,rt
wb0148ca,bread,../static/stimuli/images/temple/sun_aapfmtbuxevwbxck.jpg,False,1,2529.0,other,train,1229.0,3758.0
wb0148ca,sword,../static/stimuli/images/kitchen/sun_aibgyrlkgcnwvhxl.jpg,False,2,12672.0,correct,sword,1389.0,14061.0
wb0148ca,shortcake,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,2,9917.0,other,move,1097.0,11014.0
wb0148ca,indian,../static/stimuli/images/computerroom/sun_ashjjvtrfwzoxxij.jpg,False,2,4750.0,other,mango,1651.0,6401.0
wb0148ca,envelope,../static/stimuli/images/house/sun_abcaoiwkiofeweig.jpg,False,2,5394.0,intrusion,donkey,1571.0,6965.0
wb0148ca,pier,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,2,1438.0,other,move,1309.0,2746.0
wb0148ca,zoo,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,2,2116.0,intrusion,book,1118.0,3234.0
wb0148ca,neutron,../static/stimuli/images/restaurant/sun_agizngsilvvsycgq.jpg,False,2,1770.0,other,shelf,1721.0,3491.0
wb0148ca,vehicle,../static/stimuli/images/downtown/sun_bctdtcqciqgupefg.jpg,False,2,5600.0,correct,vechile,2138.0,7738.0
wb0148ca,message,../static/stimuli/images/ziggurat/sun_aiqkruqnfbmiiafv.jpg,False,2,3301.0,other,mango,1762.0,5063.0
wb0148ca,rocket,../static/stimuli/images/roof/sun_aqxzijexicadnjja.jpg,False,2,2304.0,intrusion,roof,2749.0,5052.0
wb0148ca,sugar,../static/stimuli/images/sky/sun_ampvdpptptmciwok.jpg,False,2,3874.0,intrusion,cool,856.0,4730.0
