wid,response_type,raw_rt,first_pres_time,second_pres_time,third_pres_time,last_pres_time,choose_first,n_pres,total_first,total_second,rt,trial_id,pretest_accuracy_first,strength_first,pretest_accuracy_second,strength_second
wf4da727,correct,3119.099999904633,698,636.1999998092651,438.90000009536743,850.7000000476837,FALSE,4,1136.9000000953674,1486.8999998569489,2623.7999999523163,28,1,-0.23067383528738072,1,0.5415702507991044
wf4da727,correct,3325.2000000476837,616.7000000476837,1541.2000000476837,NA,1541.2000000476837,FALSE,2,616.7000000476837,1541.2000000476837,2157.9000000953674,29,1,0.14942579143434948,1,0.26387183668418784
wf4da727,correct,3673.799999952316,800.2000000476837,2567.9000000953674,NA,2567.9000000953674,FALSE,2,800.2000000476837,2567.9000000953674,3368.100000143051,30,1,-0.7526251747017244,1,0.3740623031975307
wf4da727,correct,3179.399999856949,601.6999998092651,538.6000001430511,1434.2000000476837,1434.2000000476837,TRUE,3,2035.8999998569489,538.6000001430511,2574.5,31,1,0.7021202620042681,1,0.8002857745925163
wf4da727,correct,2752.5,615.6000001430511,651.0999999046326,975.7000000476837,975.7000000476837,TRUE,3,1591.3000001907349,651.0999999046326,2242.4000000953674,32,1,0.32189803055075644,1,0.3465143200816028
wf4da727,correct,2868.900000095367,642.5,1496.7000000476837,NA,1496.7000000476837,FALSE,2,642.5,1496.7000000476837,2139.2000000476837,33,0,-3.284544455059542,1,0.48750672155436003
wf4da727,correct,3466.2000000476837,749.7000000476837,2310.4000000953674,NA,2310.4000000953674,FALSE,2,749.7000000476837,2310.4000000953674,3060.100000143051,34,1,0.547607037806744,1,0.49259977847320346
wf4da727,correct,3148.899999856949,565.7999999523163,1901.0999999046326,NA,1901.0999999046326,FALSE,2,565.7999999523163,1901.0999999046326,2466.899999856949,35,1,0.17498814933876225,1,0.3206253585168604
wf4da727,correct,3178.400000095367,576.5999999046326,650.1000001430511,1689.0999999046326,1689.0999999046326,TRUE,3,2265.699999809265,650.1000001430511,2915.7999999523163,36,1,-0.30479466029812163,1,0.022337769951576845
wf4da727,correct,2693.7999999523163,556.7999999523163,758.4000000953674,843.2000000476837,843.2000000476837,TRUE,3,1400,758.4000000953674,2158.4000000953674,37,1,0.664729255708157,1,0.29420636336933786
wf4da727,correct,2858.800000190735,601.4000000953674,1545.7999999523163,NA,1545.7999999523163,FALSE,2,601.4000000953674,1545.7999999523163,2147.2000000476837,38,1,0.4281609186369741,1,0.6763557186223971
we986a69,correct,4385.700000047684,1316.3999999761581,1833.9000000953674,NA,1833.9000000953674,FALSE,2,1316.3999999761581,1833.9000000953674,3150.3000000715256,39,0,-0.9482054918947285,1,1.1765575852147496
we986a69,correct,2469.900000095367,2086.8000000715256,NA,NA,2086.8000000715256,TRUE,1,2086.8000000715256,0,2086.8000000715256,41,1,1.0166960441882966,1,1.592986465927989
we986a69,correct,2150.599999904633,1706.2999999523163,NA,NA,1706.2999999523163,TRUE,1,1706.2999999523163,0,1706.2999999523163,42,1,0.7307676875315124,1,0.8634977345556235
we986a69,correct,3558.900000095367,746.4000000953674,2035.0999999046326,NA,2035.0999999046326,FALSE,2,746.4000000953674,2035.0999999046326,2781.5,43,0,-0.9482054918947285,1,0.9837497199768845
we986a69,correct,2200.400000095367,1373,NA,NA,1373,TRUE,1,1373,0,1373,45,1,1.2933498619481698,0,-0.9482054918947285
we986a69,correct,4435.600000023842,1638,235.10000002384186,506.3000000715256,1468.0999999046326,FALSE,4,2144.3000000715256,1703.1999999284744,3847.5,46,1,0.7224261857907767,1,0.5611653607789098
we986a69,correct,3282.399999976158,929.5,1931.6000000238419,NA,1931.6000000238419,FALSE,2,929.5,1931.6000000238419,2861.100000023842,49,0,-0.9482054918947285,1,1.5136379242129048
we986a69,correct,2934,2091.399999976158,NA,NA,2091.399999976158,TRUE,1,2091.399999976158,0,2091.399999976158,50,1,1.0087578810384872,1,1.0916529532963561
we986a69,correct,2824.899999976158,1133.1999999284744,1320.4000000953674,NA,1320.4000000953674,FALSE,2,1133.1999999284744,1320.4000000953674,2453.600000023842,51,0.5,-0.23713452694238846,1,1.249695715996742
we986a69,correct,2436.7000000476837,664.2000000476837,1588.1000000238419,NA,1588.1000000238419,FALSE,2,664.2000000476837,1588.1000000238419,2252.3000000715256,53,0,-0.9482054918947285,1,0.6195173849258329
we986a69,correct,4328,791.3999999761581,543.5,1319.5,1105.8000000715256,TRUE,5,3216.7000000476837,830,4046.7000000476837,55,1,1.1789795862176193,0,-0.9482054918947285
we986a69,correct,1763.100000023842,1564.7999999523163,NA,NA,1564.7999999523163,TRUE,1,1564.7999999523163,0,1564.7999999523163,56,1,1.1673368899112748,1,0.6556761713018741
we986a69,correct,2739.7000000476837,940.7000000476837,1484.2000000476837,NA,1484.2000000476837,FALSE,2,940.7000000476837,1484.2000000476837,2424.9000000953674,57,0,-0.9482054918947285,1,0.7359175778120071
w4cb2435,correct,5516.399999856949,1150.3999998569489,1245.6000001430511,990.2000000476837,914,TRUE,5,3054.5999999046326,1880,4934.599999904633,58,1,1.1888517627446447,1,0.8453617075628441
w4cb2435,correct,5167.600000143051,1247.6000001430511,1122.6999998092651,1901.6000001430511,1901.6000001430511,TRUE,3,3149.2000002861023,1122.6999998092651,4271.900000095367,59,1,0.803841575678398,1,0.5154481862480262
w4cb2435,correct,4623.5,763.2000000476837,1283.3999998569489,520.7000000476837,1033.5,FALSE,4,1283.9000000953674,2316.899999856949,3600.7999999523163,60,0,-0.9607810995499676,1,1.0240036043364298
