wid,word,image,practice,block,rt,typing_rt,response,type_time,response_type
w6dcb1db,major,../static/stimuli/images/beach/sun_aaapvfgggrgorgox.jpg,False,3,1,1810,major,1808.800000000745,correct
w6dcb1db,elephant,../static/stimuli/images/tower/sun_augaqwzgrksvvsgf.jpg,False,3,1,2208,elephant,2207.4000000003725,correct
w6dcb1db,villain,../static/stimuli/images/street/sun_avxrcniddstcuuuc.jpg,False,3,1,2239,villain,2238.5999999996275,correct
w6dcb1db,quill,../static/stimuli/images/restaurant/sun_anyzuaevahatwgti.jpg,False,3,1,4126,quill,4125.800000000745,correct
w6dcb1db,suburb,../static/stimuli/images/laundryroom/sun_amdxqjichaqshdel.jpg,False,3,1,2616,suburb,2614.7000000011176,correct
w6dcb1db,tart,../static/stimuli/images/roof/sun_awyytziajjpreuke.jpg,False,3,1,2932,tart,2931.2000000011176,correct
w6dcb1db,jeans,../static/stimuli/images/forest/sun_abvrazjxgpqhvszy.jpg,False,3,1,2206,jeans,2204.89999999851,correct
w6dcb1db,consumer,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,3,1,2971,consumer,2970.39999999851,correct
w6dcb1db,elbow,../static/stimuli/images/theater/sun_alttxbnfjyibouth.jpg,False,3,1,2616,elbow,2615.5999999996275,correct
w6dcb1db,goat,../static/stimuli/images/waterfall/sun_awrontvhyysjfacv.jpg,False,3,1,3470,goat,3469.0,correct
w6dcb1db,eagle,../static/stimuli/images/greenhouse/sun_bxiwqwbzndahlxxp.jpg,False,3,1,3352,eagle,3351.0,correct
w6dcb1db,transplant,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,3,1,6651,transplant,6650.4000000003725,correct
w6dcb1db,pitchfork,../static/stimuli/images/skiresort/sun_akfvworuwhgwukzv.jpg,False,3,1,2877,pitchforl,2876.4000000003725,correct
w6dcb1db,application,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,3,1,3740,application,3738.800000000745,correct
w6dcb1db,antelope,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,3,1,2691,antelope,2689.89999999851,correct
w6dcb1db,lover,../static/stimuli/images/underwater/sun_aojrtoikxmtgzchi.jpg,False,3,0,1868,lover,1868.0,correct
w6dcb1db,keeper,../static/stimuli/images/gym/sun_arcsudfqyrphzccy.jpg,False,3,0,1808,keeper,1807.699999999255,correct
w6dcb1db,winner,../static/stimuli/images/ziggurat/sun_amuijzzaceciuwpo.jpg,False,3,1,2766,winner,2765.0999999996275,correct
w6dcb1db,scapegoat,../static/stimuli/images/shoppingmall/sun_aqmgjlthiepxfbtd.jpg,False,3,0,3236,scapegoat,3235.0,correct
w6dcb1db,pizza,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,3,0,1843,pizza,1842.2999999988824,correct
w6dcb1db,dandelion,../static/stimuli/images/footballfield/sun_aadxnjugrvhqyufw.jpg,False,3,0,4424,dandelion,4423.699999999255,correct
w6dcb1db,idol,../static/stimuli/images/subway/sun_amwmhabnpkxinmtz.jpg,False,3,0,1630,idol,1630.0,correct
w6dcb1db,department,../static/stimuli/images/computerroom/sun_adsueslplqfnwvqd.jpg,False,3,0,2430,department,2429.9000000003725,correct
w6dcb1db,goddess,../static/stimuli/images/volcano/sun_aojnxwnexkwltvvx.jpg,False,3,0,3078,goddess,3077.199999999255,correct
