strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.3511676245804504,0.5181520251860087,"[750, 250, 500, 750, 750, 500, 2000, 1000]",2,4000,2500
0.5979537580219862,0.9838138304438513,"[750, 1250]",2,750,1250
0.7548222854969687,0.7678508656088169,"[250, 500, 750, 1250]",2,1000,1750
0.5367164795013121,0.7410273977821041,"[750, 1250, 750, 500]",2,1500,1750
0.23550145735611352,0.8342743530508415,"[1250, 500, 1250, 500, 500, 750]",2,3000,1750
0.27804916121952067,0.5818489039250164,"[750, 1000, 500, 250, 750, 750]",2,2000,2000
0.8144198024631143,0.9422867759159854,"[1000, 500, 750]",1,1750,500
0.07850475320436162,0.9718592084889884,"[750, 500, 250, 500, 1250, 250]",2,2250,1250
0.7733595114298422,0.4758522928224671,"[500, 2000, 500, 1250, 500, 250]",2,1500,3500
0.31228894708451904,0.1381149286738423,"[250, 1000, 1000, 750, 500, 500, 1250, 500, 750, 1000, 500, 1250, 500, 250, 250]",1,5000,5250
0.5914197108426622,0.4740524888567545,"[500, 750, 500, 1250, 1250]",1,2250,2000
0.5497828805170709,0.15072681221097944,"[1250, 500, 500, 1000, 500, 750, 500]",1,2750,2250
0.8088552778525318,0.6411119906380324,"[1250, 500, 250, 750, 500]",1,2000,1250
0.869140500266701,0.8180002002960116,"[500, 750, 500, 750, 250]",1,1250,1500
0.37130346904532774,0.9833428617975293,"[2000, 750, 750, 750]",2,2750,1500
0.03795853956081218,0.3211130181111271,"[2250, 750, 750, 750, 1000, 750, 500, 1000, 1000, 750, 750, 1250]",2,6250,5250
0.4049641466126833,0.49975320418883623,"[750, 750, 2000, 2000]",2,2750,2750
0.782880458650002,0.2670346373466009,"[500, 500, 500, 500, 1000]",1,2000,1000
0.8047707552381127,0.43427836256431696,"[750, 750, 750]",1,1500,750
0.9467594415067706,0.7788117401185123,"[750, 2000]",2,750,2000
0.08492584078761121,0.9178622071432997,"[500, 500, 1250, 1000]",2,1750,1500
0.8740710476819009,0.8641871338116528,"[750, 500, 750]",1,1500,500
0.938292727944749,0.1427054815143401,"[750, 2000, 750]",1,1500,2000
0.8921170106799761,0.5180120801447294,"[1000, 1500, 500]",1,1500,1500
0.926568041364346,0.8343900112036775,"[750, 1750]",2,750,1750
0.9343927289406727,0.3195626316314867,"[1000, 500, 500]",1,1500,500
0.12432305269249513,0.9059485459194236,"[750, 1500]",2,750,1500
0.840289735757927,0.8341537451729816,[1500],1,1500,0
0.058364591890057445,0.7891506474077297,"[750, 1750]",2,750,1750
0.7299861851106912,0.8251472376580872,"[750, 500, 750, 1500]",2,1500,2000
0.8310238380514964,0.973738586854263,[1500],1,1500,0
0.6805780899903139,0.244111902624737,"[750, 500, 750, 2000, 250]",1,1750,2500
0.5096637335863508,0.7621582529305014,"[500, 750, 500, 750]",2,1000,1500
0.8659369805095624,0.06416669120357237,[1500],1,1500,0
0.9524246283850651,0.38680574148149144,[1250],1,1250,0
0.8788325476985691,0.25745341294866303,"[750, 1000, 750]",1,1500,1000
0.7653507009364169,0.8204458310127613,"[1250, 750, 250]",1,1500,750
0.2853945863031636,0.5306249204561838,"[500, 1750, 500, 1000]",2,1000,2750
