strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.25908350594675733,0.1264277716949633,[5000],1,5000,0
0.14133865740049878,0.08823384911696393,"[250, 1000, 3250, 750, 2750, 250, 5000, 500, 1000, 250]",-1,12250,2750
0.3691240223094878,0.0737203232540594,"[500, 1000, 2750]",1,3250,1000
0.24112524811839595,0.2925940882744028,"[1250, 1750, 5000]",1,6250,1750
0.10020846065536039,0.11812379940461239,"[250, 750, 250, 1250, 1000, 1500, 500, 1000, 1000, 1250, 2750, 1000, 500, 1000, 500, 250, 250]",-1,7000,8000
0.0518389833056749,0.2051987575048426,"[1250, 7000, 250, 1000]",2,1500,8000
0.4124463879612774,0.0817635567407124,[2250],1,2250,0
0.2566625427321946,0.4388445296423918,[4750],1,4750,0
0.21600064552461457,0.3929971133787332,[5250],1,5250,0
0.1860349933457097,0.10530318842508725,"[2750, 500, 4000]",1,6750,500
0.2092277989453293,0.23707565864769695,"[250, 1000, 250, 750, 500, 2500]",2,1000,4250
0.29000216527770484,0.18707781414254504,[4250],1,4250,0
0.1694236310693975,0.06327925217673881,"[750, 500, 1000, 1500, 250, 3750, 1250, 250, 1000, 4000, 750]",-1,5000,10000
0.11612604799812236,0.1791220159101549,"[250, 3500]",2,250,3500
0.23176971449984465,0.217733284936402,"[1000, 1500, 250, 5000]",2,1250,6500
0.10327183250597571,0.23098898278663707,"[500, 6500]",2,500,6500
0.3295722019585436,0.1534719278043244,[2500],1,2500,0
0.11757100334189982,0.2802600718686734,"[250, 1250, 1000, 3000]",2,1250,4250
0.3249877962614556,0.15597167931459924,[5250],1,5250,0
0.3340775045901571,0.2263064605949517,[3000],1,3000,0
0.057101326996550135,0.06683006827082211,"[250, 1250, 1750, 250, 3750, 750, 500, 750, 750, 2500, 500, 500, 1500]",-1,9000,6000
0.3096753139235016,0.4077854003200311,[5250],1,5250,0
0.19222637618478747,0.6970227779179412,"[750, 2000]",2,750,2000
0.13526942060386551,0.09788120943096111,"[500, 9500]",2,500,9500
0.06713376874114099,0.12280354492594077,"[1250, 750, 1000, 2500, 6500, 500, 1500, 1000]",-1,10250,4750
0.4251370768442527,0.07956305303798987,[2750],1,2750,0
0.3570263741167585,0.42614854392583446,"[3500, 250, 750]",1,4250,250
0.23674010664932935,0.19836951719878176,"[1000, 250, 250, 5250]",2,1250,5500
0.2720014215451628,0.2795072898012621,[4000],1,4000,0
0.2200911392765448,0.17488804449328083,"[250, 1250, 2000, 500, 4250]",1,6500,1750
0.2918726979947753,0.16705893417078954,"[500, 2250, 500, 3500, 500, 1250, 250, 4000]",2,1750,11000
0.5274306315462177,0.3389605267956015,[2250],1,2250,0
0.11204578683598919,0.42135797049461177,"[750, 3500]",2,750,3500
0.2779288812890541,0.33735106706215745,"[750, 750, 4000]",1,4750,750
0.387626014622078,0.1023210648027021,[3000],1,3000,0
0.1192824878636263,0.2238912765516409,"[750, 4500]",2,750,4500
0.3436471938033514,0.12345406180528404,[3250],1,3250,0
0.1251384792394291,0.06811130705380103,"[750, 1250, 9500, 250, 1250]",1,11500,1500
0.055152168962624044,0.33599955785930413,"[500, 2000]",2,500,2000
0.10753617982951216,0.1637972230455372,"[5250, 1000, 5500]",1,10750,1000
0.20388596250713276,0.13443981060604682,"[250, 500, 250, 500, 6500]",1,7000,1000
0.41829832835643616,0.44788690554385086,[3250],1,3250,0
0.06919305126667488,0.22082480370825272,"[250, 2250, 250, 750, 250, 1000]",2,750,4000
0.3734529080757767,0.3216240665236488,"[2250, 250, 1000]",1,3250,250
0.2062371221081634,0.1673550449468044,"[1000, 8000, 750, 2750]",2,1750,10750
0.32855689455581294,0.06350943124779669,"[3000, 250, 500]",1,3500,250
0.08222247623354578,0.34378119836280663,"[1000, 3500]",2,1000,3500
0.49291137203552615,0.23115513283614347,[2250],1,2250,0
0.4012901130847609,0.20104586179926776,"[1000, 250, 2250]",1,3250,250
0.1426701194776363,0.10737969507385778,"[500, 9250]",2,500,9250
0.5842947764787901,0.2683299040268763,[2250],1,2250,0
0.2623888148738248,0.10797087582448413,"[250, 500, 500, 3500, 4500]",1,5250,4000
0.30747927910948974,0.10837735913299947,"[250, 250, 2750, 250, 750]",1,3750,500
0.24193099523221073,0.2886539918033165,[3750],1,3750,0
0.21512807321764585,0.19927779927338554,"[1750, 6000]",2,1750,6000
0.42380675144442803,0.4254636469656361,[2500],1,2500,0
0.436570092648387,0.36862324641559746,"[250, 3000]",2,250,3000
0.30234902164139515,0.29278593755581556,"[250, 1500, 5250]",1,5500,1500
0.30375752321117233,0.03445557273879949,[4250],1,4250,0
0.3012706143052055,0.16019163451989474,[3250],1,3250,0
0.1419922659265223,0.2526501140250362,"[1000, 2750]",2,1000,2750
0.38176322596036494,0.389309802188451,"[1750, 1250, 250, 1750]",2,2000,3000
0.2690566017294593,0.249564675143586,"[1250, 1250, 4750]",1,6000,1250
0.43772941271664684,0.0521395252100316,[2500],1,2500,0
0.08677236413379032,0.14621129949061865,"[750, 8500]",2,750,8500
0.4465386241203798,0.2817108616318436,"[2000, 250, 1250]",1,3250,250
0.09039109977676822,0.4106358164497261,"[2000, 2500]",2,2000,2500
0.2962256695001178,0.07177121621903432,[3750],1,3750,0
0.11272630652861355,0.02867808250361159,"[1000, 1250, 750, 250, 750, 250, 7750]",1,10250,1750
0.07762544977841254,0.28546250888940206,"[500, 4250]",2,500,4250
0.14878338286896192,0.13347003429673693,[6250],1,6250,0
0.14304534016708,0.08192577610213417,"[1000, 500, 3000, 250, 1500, 250, 2250, 500, 2500]",1,10250,1500
0.13972803185464305,0.08414494212302091,[8000],1,8000,0
0.12018168526703091,0.0635359721536961,"[750, 750, 1250, 1250, 8000, 750, 1250]",1,11250,2750
0.2773577061654679,0.19470313868626704,"[500, 1000, 250, 3250]",2,750,4250
0.3488813438283023,0.1709313206948947,"[750, 1000, 4000]",1,4750,1000
0.5367997356341875,0.30275063503844785,[2750],1,2750,0
0.19315659475266012,0.015750792394530803,"[1250, 250, 250, 500, 3000]",1,4500,750
0.5034685822765107,0.07541543674407049,[3000],1,3000,0
0.271040204198537,0.14414388341768072,"[250, 6000, 250, 2250]",2,500,8250
0.21544015795246277,0.2913420851761018,"[2500, 4000, 250, 250]",2,2750,4250
0.2228482037253448,0.367592426816249,"[500, 3750]",2,500,3750
0.03978424849856559,0.11319386390917122,"[250, 4250, 250, 2000, 250, 6750]",2,750,13000
