pre_correct,strength,outcome,rt,μ_post,σ_post
0.0,0.19036635549381678,-1,1800,-0.3863319487333512,0.4364357804719848
0.0,-0.9732162243794893,-1,700,-0.7403686555927933,0.6324555320336759
0.0,-0.12151045796604604,-1,700,-0.8217160448272424,0.6324555320336759
0.0,-0.7749000549869374,-1,1400,-0.4876940130517076,0.48507125007266594
0.0,-1.540506014480844,-1,500,-0.9459593942551304,0.7071067811865476
0.0,-0.8489110255298374,-1,300,-1.0963353476291466,0.816496580927726
0.0,0.4308589774068989,1,2100,0.4128618039647358,0.4
0.0,0.34495912989997246,1,700,1.0961190506924556,0.6030226891555273
0.0,0.7508485645241766,-1,600,-0.8537888262733347,0.6666666666666666
0.0,0.21691307685795813,1,600,1.2302818745700712,0.6324555320336759
0.0,-1.1490796615245678,-1,900,-0.8693399916877472,0.5773502691896257
0.0,0.9834575706285807,1,800,0.9501658744448348,0.5773502691896257
0.0,-2.2612072253602538,-1,300,-1.5141906874389892,0.816496580927726
0.0,-0.4586468965480543,-1,600,-1.1928604655795683,0.6666666666666666
0.0,-0.20322832390851764,1,1500,0.6448901160754799,0.45883146774112354
0.0,-0.56932264228415,-1,300,-1.280925003492505,0.816496580927726
0.0,-0.8483978850129419,-1,2000,-0.44686316794522335,0.41702882811414954
0.0,-0.20892851257880535,-1,2800,-0.2796562743027696,0.3592106040535498
0.0,-0.3230006423609564,-1,3200,-0.2540305543547705,0.3380617018914066
0.0,-0.904186950628555,-1,1400,-0.5835786306565809,0.48507125007266594
0.0,-0.23823057891039096,1,1200,0.7426703833010802,0.5
0.0,-1.5758840908994691,-1,600,-0.8924805598866645,0.6666666666666666
0.0,-1.7816650040994484,-1,900,-0.6674988915508696,0.5773502691896257
0.0,-0.19174847465935574,-1,1700,-0.39216930524778953,0.4472135954999579
0.0,-0.031006059266897923,-1,600,-0.9810806347679549,0.6666666666666666
0.0,-0.17576554446219517,-1,3800,-0.2171646665276825,0.31234752377721214
0.0,-0.7471687333202114,-1,2800,-0.3076390603180334,0.3592106040535498
0.0,-0.7296730781994161,-1,3400,-0.2452729639205558,0.3287979746107146
0.0,-1.0861120998809666,-1,500,-1.0862295066505483,0.7071067811865476
0.0,-0.8919620304328942,-1,800,-0.832768071620831,0.6030226891555273
