strength_first,strength_second,presentation_times,outcome,duration_first,duration_second
0.16453307247405538,0.16834052589292264,"[1000, 7500]",2,1000,7500
0.10299812856627026,0.22659803168378825,"[1500, 1000, 12500]",-1,14000,1000
0.1662617772996331,0.14635120566362045,[10250],1,10250,0
0.5004174777825535,0.32451243821383247,[2250],1,2250,0
0.1696557433412615,0.19679753357232338,"[500, 7000]",2,500,7000
0.5607721733415221,0.40644306297312627,"[1000, 250, 250, 2750]",2,1250,3000
0.038105631792164224,0.4862493208953842,[15000],-1,15000,0
0.22174542018070967,0.24938594070773518,"[500, 500, 3750]",1,4250,500
0.10311688178003724,0.044583430076048494,"[250, 14750]",-1,250,14750
0.37969888767885934,0.24042993129307022,"[750, 1250, 4000]",1,4750,1250
0.09886995758424669,0.2497016125644431,[9500],1,9500,0
0.3366858789149718,0.12661570670845915,"[1750, 500, 1500]",1,3250,500
0.5323312011576106,0.2561180264197082,[2250],1,2250,0
0.36760334268585054,0.5329175208025074,"[1000, 2250]",2,1000,2250
0.5806833479227418,0.1338169556415193,"[1000, 10500]",2,1000,10500
0.6482285052169852,0.4880601639170968,"[250, 250, 500, 250, 500, 1000, 750]",1,2000,1500
0.3203710639028678,0.286737615402941,"[4250, 1500, 250]",1,4500,1500
0.2852869896353798,0.35178262338560917,[3750],1,3750,0
0.06719587812921947,0.2897306832026193,[14500],1,14500,0
0.4999880978730108,0.06959221166039428,"[1500, 13500]",-1,1500,13500
0.06184082076658781,0.26803737823670937,"[500, 5000]",2,500,5000
0.3271382687131142,0.1853021852872008,"[500, 5750]",2,500,5750
0.2557942600240935,0.021106453018793013,"[500, 14500]",-1,500,14500
0.42261475081221456,0.2193745007247853,"[250, 6000]",2,250,6000
0.32672369769779164,0.017736718008153986,"[250, 14750]",-1,250,14750
0.20050690484151143,0.07889007727929585,"[750, 1000, 5500]",1,6250,1000
0.3534947479687029,0.13547514885307846,"[1000, 9500]",2,1000,9500
0.22831816882789127,0.2575429483023113,"[500, 250, 4750]",1,5250,250
0.21279612652402075,0.28078467496710646,"[1250, 4500]",2,1250,4500
0.05556821755123814,0.3648789813921895,[15000],-1,15000,0
0.0549107146839745,0.20846262156940462,[15000],-1,15000,0
0.12199574664707498,0.2837183984630527,[6750],1,6750,0
0.2465747315996138,0.3312788262657534,"[500, 3000]",2,500,3000
0.15106344740680103,0.20078796605083962,"[250, 5750]",2,250,5750
0.163189250616944,0.08856252638350746,"[500, 14500]",-1,500,14500
0.32896512550006957,0.4126253753590361,[3500],1,3500,0
0.34100984316705507,0.2952696058788127,"[1000, 750, 500, 3250]",2,1500,4000
0.14282759752553262,0.01253209516133192,[6750],1,6750,0
0.238326124989197,0.2429324065856717,[5250],1,5250,0
0.35222842332589316,0.16974922190363206,[2750],1,2750,0
0.272398792641673,0.10400542074895365,"[250, 750, 250, 1250, 3750]",1,4250,2000
0.13611725232170319,0.1869259409924859,"[250, 6250]",2,250,6250
0.595097726890427,0.02265078961303183,[2250],1,2250,0
0.18067589167208606,0.597953916303504,"[500, 2250]",2,500,2250
0.11021677603752773,0.09426753883909035,[15000],-1,15000,0
0.11297480080402715,0.08189828183163196,[15000],1,15000,0
0.11805830137181544,0.09143957517229608,[8750],1,8750,0
0.15670101967568,0.11615394656681718,[9500],1,9500,0
0.23020497816911767,0.11851800596633019,"[500, 9500]",2,500,9500
0.10355090119895378,0.14076053599382074,"[500, 750, 13750]",-1,14250,750
0.05201918225352561,0.22279684206712086,"[1250, 5750]",2,1250,5750
0.08079269063925004,0.3960300083892963,[10750],1,10750,0
0.12396190753880884,0.428705619739901,"[1250, 3000]",2,1250,3000
0.30376969129338727,0.26827122607328163,[3000],1,3000,0
0.05906886169890074,0.05045381203012717,[15000],-1,15000,0
0.49690599925123513,0.14190591924838528,[2250],1,2250,0
0.3834473270286778,0.21258885036004288,[2750],1,2750,0
0.6394484915156741,0.1749466636689166,"[500, 500, 250, 1750, 1500]",1,2250,2250
0.44312072903329813,0.32609220320271126,[3250],1,3250,0
0.42998688204768376,0.44054627514640937,"[500, 2250]",2,500,2250
0.27333465236150184,0.09866711639073082,[4250],1,4250,0
0.07475998665606978,0.5950526794058973,"[1000, 2000]",2,1000,2000
0.24544557710168613,0.028037286074843366,[5500],1,5500,0
0.4797721792038567,0.24464734824015472,"[750, 1250, 1750]",1,2500,1250
0.4554395055251574,0.1701349689240616,"[500, 9000]",2,500,9000
0.16175361883888617,0.30870569271479087,"[250, 750, 1500, 3000]",2,1750,3750
0.21924394144108347,0.1801717246331292,"[2000, 500, 5250]",1,7250,500
0.29543727278917314,0.12487501999921598,"[750, 250, 2250]",1,3000,250
0.028511075839569057,0.33638118610329304,"[1250, 3750]",2,1250,3750
0.4157523103350542,0.20583705954771395,"[500, 250, 2750]",1,3250,250
0.21517969463407463,0.4695846057641706,[5750],1,5750,0
0.038522809618896856,0.1345824225123635,"[1250, 1250, 750, 1750, 500, 1500, 8000]",-1,10500,4500
0.1526247261667145,0.1582086891034226,[6500],1,6500,0
0.025610784302800702,0.11358678528620555,[15000],-1,15000,0
0.30529435043847925,0.3304927211841815,[4750],1,4750,0
0.2619126004127878,0.3176494475391558,[4250],1,4250,0
0.04537614540033497,0.2950511456947827,[15000],-1,15000,0
0.3004629519638651,0.05552322458512005,[5000],1,5000,0
0.3002566856491297,0.28230274834347907,[5250],1,5250,0
0.0368063810438045,0.11205628798715536,"[500, 500, 14000]",-1,14500,500
0.03173398685404908,0.1810745320711923,[15000],-1,15000,0
