wid,word,image,pratice,word_type,rt,response,type_time,response_type,typing_rt
weda1618,electron,../static/stimuli/images/pool/sun_amnkmeojepioccty.jpg,False,low,7,electron,6115.054999998421,correct,3651.0
weda1618,atom,../static/stimuli/images/garage/sun_danujvtkymldhxqn.jpg,False,low,4,atom,3152.5149999979185,correct,2486.0
weda1618,shoelace,../static/stimuli/images/house/sun_aahrslvfecptaudk.jpg,False,high,2,shoelace,6186.0449999985285,correct,4564.0
weda1618,magazine,../static/stimuli/images/greenhouse/sun_bmkhcqoxkpbmqplr.jpg,False,high,4,magazine,6908.820000000589,correct,4065.0
weda1618,editorial,../static/stimuli/images/musuem/sun_axbkhklgdaevqxyj.jpg,False,low,5,,8176.085000002815,empty,
weda1618,suburb,../static/stimuli/images/kitchen/sun_axvexejcndazoqxl.jpg,False,low,2,suburb,5848.229999999632,correct,3584.0
weda1618,elbow,../static/stimuli/images/footballfield/sun_afuzusgbewygvixv.jpg,False,high,1,elbow,4926.01499999722,correct,3768.0
weda1618,house,../static/stimuli/images/railway/sun_avugyywnswogxvlh.jpg,False,high,5,cars,9572.759999999136,other,8911.0
weda1618,sand,../static/stimuli/images/grocery/sun_ajfkrdilcurxubxd.jpg,False,high,5,,,timeout,
weda1618,carrot,../static/stimuli/images/airport/sun_aojbxgadgjyajeaw.jpg,False,high,1,carrott,4686.965000000782,correct,2120.0
weda1618,roost,../static/stimuli/images/campsite/sun_azvxwxzbkknkggng.jpg,False,low,2,,6934.7799999996205,empty,
w344bd58,fellow,../static/stimuli/images/gym/sun_abcjjambqjxedqdv.jpg,True,low,1,fellow,3470.804999989923,correct,2239.0
w344bd58,handkerchief,../static/stimuli/images/airport/sun_axyoqqhxaeocbixs.jpg,False,high,1,hankerchief,4191.234999976587,other,2258.0
w344bd58,traitor,../static/stimuli/images/musuem/sun_ayrwspiydnlwhouo.jpg,False,low,1,traitor,4255.089999991469,correct,2198.0
w344bd58,transplant,../static/stimuli/images/castle/sun_apbjjqvsvrybtdua.jpg,False,low,1,transplant,4527.06500000204,correct,2334.0
w344bd58,shoelace,../static/stimuli/images/railway/sun_asgcpxncztcqwiyz.jpg,False,high,1,shoelace,2559.255000000121,correct,1291.0
w344bd58,apple,../static/stimuli/images/house/sun_admwlghhtfixlbsf.jpg,False,high,1,apple,1789.9000000033993,correct,1127.0
w344bd58,strawberry,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,high,1,strawberry,3519.4199999968987,correct,1215.0
w344bd58,eagle,../static/stimuli/images/downtown/sun_abosdjemftsczdvd.jpg,False,high,1,eagle,2132.5700000161305,correct,1334.0
w344bd58,pillow,../static/stimuli/images/footballfield/sun_afuzusgbewygvixv.jpg,False,high,1,pillow,2412.9850000026636,correct,1220.0
w344bd58,follower,../static/stimuli/images/auditorium/sun_ahwnrxacspjqqqfm.jpg,False,low,1,follower,2927.1950000256766,correct,1526.0
w344bd58,cue,../static/stimuli/images/kitchen/sun_alazdvaixpjtegwg.jpg,False,low,1,cue,2175.905000010971,correct,1702.0
w344bd58,donor,../static/stimuli/images/beach/sun_aafwmyqvqgtvdkce.jpg,False,low,1,donor,7017.454999993788,correct,4877.0
w344bd58,tomato,../static/stimuli/images/bookstore/sun_avsybhiblxqxcayh.jpg,False,high,1,tomato,1981.7049999837764,correct,1091.0
w344bd58,banana,../static/stimuli/images/river/sun_auvfucpnqlcaddzs.jpg,False,high,1,banana,3448.2650000136346,correct,1519.0
w344bd58,community,../static/stimuli/images/garage/sun_daivjtyepudsqerl.jpg,False,low,1,community,3884.0199999976903,correct,2595.0
w344bd58,quill,../static/stimuli/images/greenhouse/sun_bmzsunjewvlfjojq.jpg,False,high,1,shill,3210.4399999952875,other,2582.0
w344bd58,scenery,../static/stimuli/images/campsite/sun_akmknzqdbcxpznth.jpg,False,low,1,life,9665.594999998575,other,9316.0
w344bd58,bed,../static/stimuli/images/grocery/sun_acmmgshfrxgopxlk.jpg,False,high,1,bed,1683.6449999827892,correct,1304.0
w344bd58,editorial,../static/stimuli/images/pool/sun_aexdaltifheurhfa.jpg,False,low,1,read,4851.2099999934435,other,4003.0
w344bd58,scapegoat,../static/stimuli/images/computerroom/sun_ajcvdokgzllibdsg.jpg,False,low,1,scapegoat,5180.679999990389,correct,1859.0
wbdd931d,well,../static/stimuli/images/castle/sun_alsmelmsufuoupht.jpg,True,low,1,well,8476.849999977276,correct,7318.0
wbdd931d,critic,../static/stimuli/images/pool/sun_argikopryamoycho.jpg,False,low,0,critic,8938.375000143424,correct,6819.0
wbdd931d,villain,../static/stimuli/images/campsite/sun_arbodmznqjwtkkya.jpg,False,low,0,vilian,9631.149999797344,other,8792.0
wbdd931d,empire,../static/stimuli/images/garage/sun_daivjtyepudsqerl.jpg,False,low,0,empire,3662.315000081435,correct,2703.0
wbdd931d,transplant,../static/stimuli/images/auditorium/sun_amnlhuknqqtssrhl.jpg,False,low,0,transplant,5654.169999994338,correct,3127.0
wbdd931d,volunteer,../static/stimuli/images/computerroom/sun_aiwdglrsrkkfbgzz.jpg,False,low,0,volunteer,6029.235000023618,correct,4077.0
wbdd931d,tractor,../static/stimuli/images/grocery/sun_ajxqnbvuflmzhcig.jpg,False,high,0,tractor,2798.739999998361,correct,1135.0
wbdd931d,cactus,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,high,0,cactus,5798.405000008643,correct,3439.0
wbdd931d,apple,../static/stimuli/images/river/sun_advruofhmqeyqmbx.jpg,False,high,0,,,timeout,9924.0
wbdd931d,seagull,../static/stimuli/images/forest/sun_atlxncsxfmqwisuw.jpg,False,high,0,seagull,6590.729999821633,correct,5207.0
wbdd931d,chimney,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,high,0,,,timeout,
wbdd931d,neck,../static/stimuli/images/footballfield/sun_ahqkbelqgjflpbjo.jpg,False,high,0,neck,4317.830000072718,correct,3390.0
wbdd931d,personnel,../static/stimuli/images/beach/sun_abylvpgvhrpaxgnk.jpg,False,low,0,personnel,9308.39000013657,correct,7964.0
wbdd931d,gravel,../static/stimuli/images/bookstore/sun_auwghripdoxzluuk.jpg,False,high,0,,,timeout,8432.0
wbdd931d,enemy,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,low,0,enemy,7158.130000112578,correct,6391.0
wbdd931d,cookie,../static/stimuli/images/house/sun_afejjgypgnszvwza.jpg,False,high,0,cookie,4054.3850001413375,correct,2678.0
wbdd931d,elephant,../static/stimuli/images/downtown/sun_bctdtcqciqgupefg.jpg,False,high,0,elephant,5070.2649999875575,correct,3366.0
wbdd931d,ozone,../static/stimuli/images/musuem/sun_agblrnoilxeknben.jpg,False,low,0,ozone,5740.965000120923,correct,5086.0
wbdd931d,banana,../static/stimuli/images/railway/sun_acfjiedtgqzgvtnp.jpg,False,high,0,banana,3454.3000000994653,correct,2711.0
wbdd931d,department,../static/stimuli/images/gym/sun_awstzxompuovdfck.jpg,False,low,0,department,7878.779999911785,correct,6519.0
w2fd0404,goat,../static/stimuli/images/bookstore/sun_avsybhiblxqxcayh.jpg,True,high,2,goat,5851.894999999786,correct,5411.0
w2fd0404,transplant,../static/stimuli/images/computerroom/sun_aknbqkyjmltzjpuf.jpg,False,low,1,graft,12416.235000004235,other,12417.0
w2fd0404,territory,../static/stimuli/images/gym/sun_abcjjambqjxedqdv.jpg,False,low,1,,,timeout,
w2fd0404,tulip,../static/stimuli/images/grocery/sun_akqpikmgyzrpoilg.jpg,False,high,1,tulip,8368.139999998675,correct,8369.0
w2fd0404,flower,../static/stimuli/images/airport/sun_aonhxkxmksvewqlr.jpg,False,high,1,,5182.159999996657,empty,
w2fd0404,scenery,../static/stimuli/images/pool/sun_alkvkavnnunmdavq.jpg,False,low,1,,,timeout,
w2fd0404,cue,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,low,1,,3843.4850000048755,empty,
w2fd0404,neck,../static/stimuli/images/greenhouse/sun_amgolruftenzsoay.jpg,False,high,1,neck,7984.9549999999,correct,6450.0
w2fd0404,apple,../static/stimuli/images/downtown/sun_ahwvhnliokuzkazb.jpg,False,high,1,apple,2835.8850000004168,correct,2229.0
w2fd0404,fellow,../static/stimuli/images/garage/sun_dswqerijtizeqkhu.jpg,False,low,2,man,2697.330000002694,other,2292.0
w2fd0404,elbow,../static/stimuli/images/railway/sun_atutomffrubpoiva.jpg,False,high,1,elbow,3526.850000002014,correct,1984.0
w2fd0404,sand,../static/stimuli/images/river/sun_awyqyxlrmqvjlwnd.jpg,False,high,1,,,timeout,
w2fd0404,winner,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,low,1,winner,2973.5749999963446,correct,2177.0
w2fd0404,editorial,../static/stimuli/images/castle/sun_alsmelmsufuoupht.jpg,False,low,1,,5283.914999999979,empty,
w2fd0404,bug,../static/stimuli/images/house/sun_admwlghhtfixlbsf.jpg,False,high,1,bug,7665.840000001481,correct,7235.0
w2fd0404,stranger,../static/stimuli/images/musuem/sun_alsgupdkmpsptlos.jpg,False,low,1,unknown,11225.899999997637,other,6581.0
w2fd0404,keeper,../static/stimuli/images/beach/sun_abkegkdifglzmevl.jpg,False,low,1,,3382.6350000017555,empty,
w2fd0404,lover,../static/stimuli/images/auditorium/sun_ahwnrxacspjqqqfm.jpg,False,low,1,,2746.695000001637,empty,
w2fd0404,finger,../static/stimuli/images/footballfield/sun_aszinldqqvnpmwfh.jpg,False,high,1,,6936.760000004142,empty,
w2fd0404,antelope,../static/stimuli/images/forest/sun_almbxcurjahdxery.jpg,False,high,1,antelope,8038.515000000189,correct,7042.0
w216da7e,cookie,../static/stimuli/images/bookstore/sun_aalyndhausktwxbc.jpg,True,high,1,cookie,3055.449999985285,correct,2515.0
w216da7e,bug,../static/stimuli/images/grocery/sun_acmmgshfrxgopxlk.jpg,False,high,1,bug,1522.4550000275485,correct,1216.0
w216da7e,major,../static/stimuli/images/garage/sun_danujvtkymldhxqn.jpg,False,low,0,major,1763.6200000415556,correct,1386.0
w216da7e,stranger,../static/stimuli/images/computerroom/sun_azkmsfiuzzekamsy.jpg,False,low,1,stranger,2262.059999979101,correct,1398.0
w216da7e,daisy,../static/stimuli/images/railway/sun_azmvasvseueupvyd.jpg,False,high,1,daisy,1607.9899999895133,correct,1073.0
w216da7e,apple,../static/stimuli/images/greenhouse/sun_bhxqibazllyrcpje.jpg,False,high,1,apple,1644.23999999417,correct,952.0
w216da7e,well,../static/stimuli/images/pool/sun_antxeexzhaspkvlj.jpg,False,low,1,well,1695.5050000105985,correct,1002.0
w216da7e,winner,../static/stimuli/images/campsite/sun_agkgjmhhyqowlmdm.jpg,False,low,1,winner,1482.1700000320561,correct,1072.0
w216da7e,saxophone,../static/stimuli/images/footballfield/sun_aedcjgjztgoialpm.jpg,False,high,1,saxophone,3248.039999976754,correct,1090.0
