wid,word,image,practice,block,prime,prime_related,typing_rt,response,type_time,rt,response_type
w8858452,bird,../static/stimuli/images/skiresort/sun_ahlksvwmghqfwqtw.jpg,False,-1,True,True,4832.999999999884,,0.0,4832.999999999884,empty
w8858452,pig,../static/stimuli/images/theater/sun_acehmgvyiimdorgz.jpg,False,-1,True,True,990.0,pig,400.0,1390.0,correct
w8858452,nut,../static/stimuli/images/waterfall/sun_bbvrdmjbnzoaqrmp.jpg,False,-1,True,True,1428.0,nut,477.0,1905.0,correct
w8858452,fence,../static/stimuli/images/castle/sun_aqdmndojwupcntcn.jpg,False,-1,True,False,1131.0,fence,846.0,1977.0,intrusion
w8858452,potato,../static/stimuli/images/grocery/sun_attfybmngdqnppeu.jpg,False,-1,True,True,1130.0,potato,977.0,2107.0,correct
w8858452,bread,../static/stimuli/images/ranch/sun_airsfxbouimobamd.jpg,False,-1,True,True,1461.9999999998836,bread,730.0000000001164,2192.0,correct
w8858452,bag,../static/stimuli/images/bookstore/sun_avqoszezjldwidcy.jpg,False,-1,True,True,1337.0,bag,479.0,1816.0,intrusion
w8858452,hat,../static/stimuli/images/ziggurat/sun_agbaptlibgqhrwwn.jpg,False,-1,True,True,1579.0,hat,438.0,2017.0,intrusion
w8858452,sand,../static/stimuli/images/downtown/sun_aljrvcabwnwkorml.jpg,False,-1,True,False,1477.0,sand,841.0,2318.0,intrusion
w8858452,cake,../static/stimuli/images/river/sun_abktmmreusnujejq.jpg,False,-1,True,False,3153.0,cat,644.0,3797.0,other
w8858452,lawn,../static/stimuli/images/windmill/sun_acijpcruwskdzwbx.jpg,False,-1,True,False,1245.0,lawn,656.0,1901.0,correct
w8858452,candle,../static/stimuli/images/house/sun_aswyksckmfyarwfk.jpg,False,-1,True,False,2059.0,,2067.0,4126.0,empty
w8858452,window,../static/stimuli/images/kitchen/sun_avlgzqfdedxwbiei.jpg,False,-1,True,True,1228.0,window,1949.0000000001164,3177.0000000001164,correct
w8858452,hay,../static/stimuli/images/auditorium/sun_aiheutdgogkujwri.jpg,False,-1,True,False,1662.0,hall,589.0,2251.0,intrusion
w8858452,rabbit,../static/stimuli/images/greenhouse/sun_bncgstrupskxwget.jpg,False,-1,True,True,1308.0,rabbit,1605.0,2913.0,correct
w8858452,bed,../static/stimuli/images/street/sun_aczwveqpgvcxtjxr.jpg,False,-1,True,False,1115.0000000001164,bed,351.9999999998836,1467.0,correct
w8858452,milk,../static/stimuli/images/railway/sun_azmvasvseueupvyd.jpg,False,-1,True,True,1155.0000000001164,milk,704.9999999998836,1860.0,intrusion
w8858452,egg,../static/stimuli/images/laundryroom/sun_aenyfwnevttqnhhe.jpg,False,-1,True,True,896.0,egg,598.0,1494.0,correct
w5308ad9,horse,../static/stimuli/images/castle/sun_alevmcaohaqqwlic.jpg,True,-1,False,False,,,,,timeout
w5308ad9,heart,../static/stimuli/images/underwater/sun_aufltyunbkquxrih.jpg,False,-1,False,False,6638.0,,0.0,6638.0,empty
w5308ad9,bear,../static/stimuli/images/gym/sun_awstzxompuovdfck.jpg,False,-1,False,False,3687.10000000149,bird,1054.300000000745,4741.400000002235,other
